Símbolo;Empresa;id_Industria;Industria;Sub_industria;Localización;Incorp. SP500;Fundación;Cant. Empleos;Facturac. U$S 2022;Costo Op. U$S;Gcia Bruta U$S 2022;Deuda U$S 2022;Valor de Mercado
CTLT;Catalent;XLV;Health Care;Pharmaceuticals;New Jersey;21/9/2020;2007;17.800;4.276.000.000;3.216.000.000;1.060.000.000;4.848.999.936;7.726.457.856
CTRA;Coterra;XLE;Energy;Oil & Gas Exploration & Production;Texas;23/6/2008;1989;981;7.683.999.744;47.999.744;7.636.000.000;2.560.999.936;20.103.499.776
CTSH;Cognizant;XLK;Information Technology;IT Consulting & Other Services;New Jersey;17/11/2006;1994;345.600;19.394.000.896;12.355.000.896;7.039.000.000;1.480.999.936;34.191.273.984
CTVA;Corteva;XLB;Materials;Fertilizers & Agricultural Chemicals;Indiana;3/6/2019;2019;21.000;17.531.000.832;10.505.000.832;7.026.000.000;5.312.999.936;35.367.538.688
CVS;CVS Health;XLV;Health Care;Health Care Services;Rhode Island;4/3/1957;1996;219.000;338.072.010.752;284.616.010.752;53.456.000.000;82.135.998.464;89.586.900.992
CVX;Chevron Corporation;XLE;Energy;Integrated Oil & Gas;California;4/3/1957;1879;43.846;214.671.998.976;115.785.998.976;98.886.000.000;21.514.000.384;312.655.642.624
CZR;Caesars Entertainment;XLY;Consumer Discretionary;Casinos & Gaming;Nevada;22/3/2021;1973;49.000;11.416.999.936;5.996.999.936;5.420.000.000;26.094.000.128;9.403.867.136
D;Dominion Energy;XLU;Utilities;Electric Utilities;Virginia;25/9/1996;1983;17.200;18.345.000.960;10.422.000.960;7.923.000.000;48.978.001.920;34.290.956.288
DAL;Delta Air Lines;XLI;Industrials;Passenger Airlines;Atlanta;11/9/2013;1929;95.000;57.259.999.232;47.579.999.232;9.680.000.000;27.899.000.832;23.446.151.168
DD;DuPont;XLB;Materials;Specialty Chemicals;Delaware;2/4/2019;2017;23.000;12.533.000.192;7.918.000.192;4.615.000.000;8.600.000.512;33.809.842.176
DE;John Deere;XLI;Industrials;Agricultural & Farm Machinery;Illinois;4/3/1957;1837;82.200;61.361.000.448;46.875.000.448;14.486.000.000;63.037.001.728;108.199.092.224
DFS;Discover Financial;XLF;Financials;Consumer Finance;Illinois;2/7/2007;1985;20.200;10.789.999.616;324.999.616;10.465.000.000;20.276.000.768;21.782.968.320
DG;Dollar General;XLP;Consumer Staples;Consumer Staples Merchandise Retail;Tennessee;3/12/2012;1939;170.000;38.806.810.624;26.986.712.624;11.820.098.000;18.035.841.024;23.347.855.360
DGX;Quest Diagnostics;XLV;Health Care;Health Care Services;New Jersey;12/12/2002;1967;40.000;9.488.000.000;6.021.000.000;3.467.000.000;4.959.000.064;13.803.782.144
DHI;D.R. Horton;XLY;Consumer Discretionary;Homebuilding;Texas;22/6/2005;1978;13.237;34.595.799.040;24.525.699.040;10.070.100.000;6.168.200.192;35.111.845.888
DHR;Danaher Corporation;XLV;Health Care;Health Care Equipment;D.C.;18/11/1998;1969;79.000;30.356.000.768;11.407.000.768;18.949.000.000;20.974.999.552;160.126.402.560
DIS;Disney;XLC;Communication Services;Movies & Entertainment;California;30/6/1976;1923;171.600;87.807.000.576;59.486.000.576;28.321.000.000;47.189.000.192;147.864.518.656
DLR;Digital Realty;XLRE;Real Estate;Data Center REITs;Texas;18/5/2016;2004;3.412;5.109.769.216;2.448.994.216;2.660.775.000;19.271.573.504;36.391.899.136
DLTR;Dollar Tree;XLP;Consumer Staples;Consumer Staples Merchandise Retail;Virginia;19/12/2011;1986;65.025;29.309.700.096;20.374.300.096;8.935.400.000;10.350.300.160;23.410.839.552
DOV;Dover Corporation;XLI;Industrials;Industrial Machinery & Supplies & Components;Illinois;31/10/1985;1955;25.000;8.476.580.864;5.406.169.864;3.070.411.000;3.422.747.904;19.345.973.248
DOW;Dow Inc.;XLB;Materials;Commodity Chemicals;Michigan;1/4/2019;2019;37.800;49.244.999.680;40.680.999.680;8.564.000.000;16.304.000.000;35.055.321.088
DPZ;Domino's;XLY;Consumer Discretionary;Restaurants;Michigan;12/5/2020;1960;6.500;4.509.852.160;3.346.576.160;1.163.276.000;5.226.727.936;12.747.302.912
DRI;Darden Restaurants;XLY;Consumer Discretionary;Restaurants;Florida;31/5/1995;1938;187.384;10.772.299.776;7.886.099.333;2.886.200.443;6.937.699.840;16.977.649.664
DTE;DTE Energy;XLU;Utilities;Multi-Utilities;Michigan;4/3/1957;1995;10.102;16.190.000.128;12.522.000.128;3.668.000.000;19.868.999.680;19.421.777.920
DUK;Duke Energy;XLU;Utilities;Electric Utilities;North Carolina;30/6/1976;1904;27.859;28.597.999.616;15.485.999.616;13.112.000.000;78.822.998.016;65.880.121.344
DVA;DaVita Inc.;XLV;Health Care;Health Care Facilities;Colorado;31/7/2008;1979;70.000;11.738.649.600;8.338.308.600;3.400.341.000;11.478.210.560;8.383.000.064
DVN;Devon Energy;XLE;Energy;Oil & Gas Exploration & Production;Oklahoma;30/8/2000;1971;1.800;16.023.000.064;4.694.000.064;11.329.000.000;6.736.000.000;27.453.995.008
DXC;DXC Technology;XLK;Information Technology;IT Consulting & Other Services;Virginia;4/4/2017;2017;170.500;14.168.999.936;10.832.870.528;3.336.129.408;5.486.000.128;4.448.172.544
DXCM;Dexcom;XLV;Health Care;Health Care Equipment;California;12/5/2020;1999;7.500;3.197.600.000;1.314.500.000;1.883.100.000;3.371.599.872;32.581.246.976
EA;Electronic Arts;XLC;Communication Services;Interactive Home Entertainment;California;22/7/2002;1982;13.400;7.583.000.064;1.829.000.064;5.754.000.000;2.216.999.936;32.723.460.096
EBAY;eBay;XLY;Consumer Discretionary;Broadline Retail;California;22/7/2002;1995;11.600;9.939.999.744;2.824.999.744;7.115.000.000;8.218.999.808;22.675.210.240
ECL;Ecolab;XLB;Materials;Specialty Chemicals;Minnesota;31/1/1989;1923;47.000;14.764.199.936;9.337.499.936;5.426.700.000;9.066.999.808;48.011.124.736
ED;Consolidated Edison;XLU;Utilities;Electric Utilities;New York;4/3/1957;1823;14.319;15.541.999.616;7.856.999.616;7.685.000.000;23.835.000.832;29.235.759.104
EFX;Equifax;XLI;Industrials;Research & Consulting Services;Atlanta;19/6/1997;1899;14.000;5.061.799.936;2.116.799.936;2.945.000.000;5.672.099.840;22.184.095.744
EG;Everest Re;XLF;Financials;Reinsurance;Bermuda;19/6/2017;1973;2.428;13.354.900.480;12.502.000.480;852.900.000;3.084.999.936;16.800.664.576
EIX;Edison International;XLU;Utilities;Electric Utilities;California;4/3/1957;1886;13.388;17.173.999.616;7.759.999.616;9.414.000.000;34.710.999.040;23.261.808.640
